,Home_team,Home_score,Away_score,Away_team,Home_xG,Away_xG
0,Everton,0,1,Sheffield United,1.25,1.39
1,Manchester United,1,1,Fulham,0.92,0.87
2,Southampton,0,2,Leeds,1.31,1.58
3,Brighton,3,2,Manchester City,1.23,1.07
4,Chelsea,2,1,Leicester,2.86,0.83
5,Everton,1,0,Wolverhampton Wanderers,0.67,0.27
6,Newcastle United,1,0,Sheffield United,1.83,0.88
7,Tottenham,1,2,Aston Villa,0.89,1.64
8,Crystal Palace,1,3,Arsenal,1.00,1.79
9,Burnley,0,3,Liverpool,0.84,2.73
10,West Bromwich Albion,1,3,West Ham,1.11,3.57
11,Arsenal,2,0,Brighton,0.77,0.19
12,Aston Villa,2,1,Chelsea,0.98,3.43
13,Fulham,0,2,Newcastle United,0.99,1.60
14,Leeds,3,1,West Bromwich Albion,2.49,1.02
15,Leicester,2,4,Tottenham,1.83,1.85
16,Liverpool,2,0,Crystal Palace,2.20,0.77
17,Manchester City,5,0,Everton,2.88,1.07
18,Sheffield United,1,0,Burnley,0.42,0.56
19,West Ham,3,0,Southampton,1.98,1.35
20,Wolverhampton Wanderers,1,2,Manchester United,0.70,2.05
21,Arsenal,3,1,West Bromwich Albion,1.07,1.83
22,Fulham,0,2,Burnley,0.78,1.66
23,Manchester United,1,2,Leicester,0.21,0.99
24,Southampton,3,1,Crystal Palace,1.59,1.33
25,Chelsea,0,1,Arsenal,1.57,0.69
26,Manchester United,2,4,Liverpool,1.71,2.94
27,Aston Villa,0,0,Everton,0.56,0.98
28,Newcastle United,3,4,Manchester City,2.18,1.48
29,Burnley,0,4,Leeds,1.41,1.86
30,Southampton,3,1,Fulham,2.29,0.88
31,Brighton,1,1,West Ham,0.92,1.92
32,Crystal Palace,3,2,Aston Villa,1.95,1.23
33,Tottenham,2,0,Wolverhampton Wanderers,3.14,1.09
34,West Bromwich Albion,1,2,Liverpool,1.14,2.08
35,Tottenham,4,0,Sheffield United,2.26,0.47
36,West Bromwich Albion,1,1,Wolverhampton Wanderers,1.07,0.84
37,Burnley,1,2,West Ham,1.68,2.42
38,Leicester,2,4,Newcastle United,2.31,2.87
39,Leeds,3,1,Tottenham,2.55,1.03
40,Sheffield United,0,2,Crystal Palace,0.64,2.25
41,Manchester City,1,2,Chelsea,1.79,0.62
42,Liverpool,2,0,Southampton,2.26,1.23
43,Wolverhampton Wanderers,2,1,Brighton,1.12,0.28
44,Aston Villa,1,3,Manchester United,0.57,1.89
45,West Ham,0,1,Everton,1.10,1.56
46,Aston Villa,2,2,West Bromwich Albion,2.65,1.57
47,Leicester,2,1,Crystal Palace,1.23,0.72
48,Southampton,1,1,Leicester,0.95,2.52
49,Crystal Palace,0,2,Manchester City,0.36,2.04
50,Brighton,2,0,Leeds,2.53,0.51
51,Chelsea,2,0,Fulham,1.84,0.29
52,Everton,1,2,Aston Villa,1.22,1.59
53,Newcastle United,0,2,Arsenal,0.17,1.79
54,Leeds,1,1,Liverpool,2.60,1.60
55,Chelsea,0,0,Brighton,0.81,0.46
56,Tottenham,2,1,Southampton,1.29,1.06
57,Aston Villa,1,2,Manchester City,0.80,1.56
58,Leicester,3,0,West Bromwich Albion,2.67,0.28
59,Arsenal,0,1,Everton,0.74,0.53
60,Liverpool,1,1,Newcastle United,2.85,0.86
61,West Ham,0,1,Chelsea,0.27,2.52
62,Sheffield United,1,0,Brighton,0.79,2.06
63,Wolverhampton Wanderers,0,4,Burnley,0.35,2.24
64,Leeds,0,0,Manchester United,0.22,1.12
65,Sheffield United,0,3,Arsenal,0.32,1.94
66,West Bromwich Albion,3,0,Southampton,2.77,1.50
67,Brighton,0,0,Everton,1.16,0.31
68,Everton,2,2,Tottenham,2.26,1.48
69,Newcastle United,3,2,West Ham,2.43,2.07
70,Wolverhampton Wanderers,1,0,Sheffield United,1.23,0.30
71,Arsenal,1,1,Fulham,2.86,0.84
72,Manchester United,3,1,Burnley,2.87,0.96
73,Manchester United,2,1,Brighton,1.73,1.41
74,Everton,1,1,Crystal Palace,2.53,0.60
75,Wolverhampton Wanderers,2,3,West Ham,1.96,1.60
76,Fulham,0,1,Wolverhampton Wanderers,0.73,0.43
77,Manchester City,1,2,Leeds,1.99,0.18
78,Liverpool,2,1,Aston Villa,2.15,0.76
79,Crystal Palace,1,4,Chelsea,0.60,3.85
80,Burnley,1,2,Newcastle United,1.84,1.34
81,West Ham,3,2,Leicester,1.02,1.17
82,Tottenham,1,3,Manchester United,0.92,2.10
83,Chelsea,2,5,West Bromwich Albion,2.56,1.38
84,Leeds,2,1,Sheffield United,2.51,0.87
85,Leicester,0,2,Manchester City,0.28,1.98
86,Arsenal,0,3,Liverpool,0.16,2.44
87,Southampton,3,2,Burnley,2.40,1.50
88,Newcastle United,2,2,Tottenham,3.30,2.44
89,Aston Villa,3,1,Fulham,1.52,1.52
90,Aston Villa,0,2,Tottenham,0.44,1.72
91,Manchester United,1,0,West Ham,1.70,0.46
92,Wolverhampton Wanderers,0,1,Liverpool,1.29,1.06
93,Fulham,1,2,Leeds,1.47,1.41
94,Brighton,3,0,Newcastle United,0.95,0.10
95,West Ham,3,3,Arsenal,2.51,1.35
96,Tottenham,4,1,Crystal Palace,2.24,0.56
97,Chelsea,2,0,Everton,2.57,0.27
98,West Ham,2,0,Leeds,2.38,1.35
99,Manchester City,5,2,Southampton,3.11,1.61
100,Newcastle United,1,1,Aston Villa,0.87,0.75
101,Leeds,0,0,Chelsea,0.38,0.97
102,Crystal Palace,1,0,West Bromwich Albion,1.31,0.51
103,Everton,1,2,Burnley,1.70,0.75
104,Fulham,0,3,Manchester City,0.45,2.73
105,Southampton,1,2,Brighton,1.03,0.90
106,Leicester,5,0,Sheffield United,4.55,0.09
107,Arsenal,2,1,Tottenham,1.57,0.71
108,Sheffield United,0,2,Liverpool,0.78,2.81
109,Everton,1,0,Southampton,1.42,0.67
110,Manchester City,4,1,Wolverhampton Wanderers,3.26,0.32
111,Burnley,1,1,Leicester,1.27,1.24
112,Sheffield United,1,0,Aston Villa,0.72,1.44
113,Crystal Palace,0,0,Manchester United,0.74,0.58
114,West Bromwich Albion,0,1,Everton,1.02,1.41
115,Fulham,0,1,Tottenham,1.17,1.55
116,Liverpool,0,1,Chelsea,0.25,1.23
117,Burnley,1,1,Arsenal,1.10,2.54
118,Sheffield United,0,2,Southampton,0.91,2.37
119,Aston Villa,0,0,Wolverhampton Wanderers,0.96,2.15
120,Brighton,1,2,Leicester,0.75,1.04
121,West Bromwich Albion,0,0,Newcastle United,1.47,0.45
122,Liverpool,0,1,Fulham,0.70,1.37
123,Manchester City,0,2,Manchester United,1.28,2.11
124,Manchester United,3,1,Newcastle United,1.73,0.34
125,Brighton,1,2,Crystal Palace,2.59,0.18
126,Leeds,3,0,Southampton,1.85,1.48
127,Manchester City,2,1,West Ham,0.76,1.93
128,West Bromwich Albion,1,0,Brighton,0.69,3.12
129,Leeds,0,1,Aston Villa,1.00,0.88
130,Newcastle United,1,1,Wolverhampton Wanderers,1.95,1.28
131,Crystal Palace,0,0,Fulham,0.09,0.81
132,Leicester,1,3,Arsenal,0.53,2.11
133,Tottenham,4,0,Burnley,2.36,0.60
134,Chelsea,0,0,Manchester United,1.17,0.36
135,Everton,0,2,Fulham,0.31,2.55
136,West Ham,3,0,Sheffield United,2.33,0.93
137,Chelsea,2,0,Newcastle United,2.54,0.43
138,Burnley,1,1,Fulham,1.21,0.59
139,Everton,1,3,Manchester City,1.05,1.23
140,Wolverhampton Wanderers,1,0,Leeds,0.59,2.48
141,Southampton,1,1,Chelsea,0.50,1.45
142,Burnley,0,0,West Bromwich Albion,0.54,1.72
143,Liverpool,0,2,Everton,1.54,2.01
144,Fulham,1,0,Sheffield United,1.21,0.98
145,West Ham,2,1,Tottenham,1.09,0.77
146,Aston Villa,1,2,Leicester,1.71,1.24
147,Arsenal,0,1,Manchester City,0.33,2.09
148,Sheffield United,1,2,Chelsea,0.62,1.64
149,Leeds,2,0,Crystal Palace,2.65,0.37
150,Leicester,3,1,Liverpool,2.07,1.68
151,Crystal Palace,0,3,Burnley,0.65,1.96
152,Manchester City,3,0,Tottenham,2.46,0.42
153,Brighton,0,0,Aston Villa,2.33,0.14
154,Southampton,1,2,Wolverhampton Wanderers,0.85,1.09
155,West Bromwich Albion,1,1,Manchester United,0.95,0.42
156,Arsenal,4,2,Leeds,2.51,0.77
157,Brighton,1,0,Tottenham,1.77,0.37
158,Sheffield United,2,1,West Bromwich Albion,1.36,1.62
159,Wolverhampton Wanderers,2,1,Arsenal,1.56,0.72
160,Manchester United,9,0,Southampton,5.03,0.51
161,Newcastle United,1,2,Crystal Palace,1.91,0.81
162,Burnley,0,2,Manchester City,0.05,2.12
163,Fulham,0,2,Leicester,0.73,1.71
164,Leeds,1,2,Everton,1.14,1.92
165,Aston Villa,1,3,West Ham,0.74,1.79
166,Liverpool,0,1,Brighton,1.10,1.19
167,Tottenham,0,1,Chelsea,0.57,2.39
168,Aston Villa,1,0,Arsenal,1.20,0.68
169,Burnley,1,1,Brighton,1.89,0.61
170,Newcastle United,3,2,Southampton,0.91,1.43
171,Fulham,0,0,West Ham,1.61,0.94
